|,|__appid,|__name,|__developer,|__publisher,|__score_rank,|__positive,|__negative,|__userscore,|__owners,|__average_forever,|__average_2weeks,|__median_forever,|__median_2weeks,|__price,|__initialprice,|__discount,,
281240,281240,Adventure Chronicles: The Search For Lost Treasure,Gogii,Strategy First,,41,22,0,"20,000 .. 50,000",151,0,153,0,499,499,0,,
unknow,unknow,Adventure Park,unknow,unknow,,-1,-1,-1,unknow,-1,-1,-1,-1,-1,-1,-1,,
unknow,unknow,Adventure Time  Explore the Dungeon Because I DONT KNOW!,unknow,unknow,,-1,-1,-1,unknow,-1,-1,-1,-1,-1,-1,-1,,
280320,280320,Adventurer Manager,Vigilant Addiction Studios,"BBEW BBEW, LLC",,320,205,0,"50,000 .. 100,000",332,0,272,0,499,499,0,,
354680,354680,Adventures of Bertram Fiddle: Episode 1: A Dreadly Business,Rumpus,Deck13 ,,316,45,0,"20,000 .. 50,000",57,0,70,0,499,499,0,,
211440,211440,Adventures of Shuggy,Smudged Cat Games Ltd,Smudged Cat Games Ltd,,954,149,0,"200,000 .. 500,000",133,0,25,0,499,499,0,,
304670,304670,Aeon Command,"Bat Country Games, LLC","Bat Country Games, LLC",,274,70,0,"20,000 .. 50,000",179,0,178,0,299,299,0,,
unknow,unknow,Aerena,unknow,unknow,,-1,-1,-1,unknow,-1,-1,-1,-1,-1,-1,-1,,
322930,322930,aerofly RC 7,IPACS,IPACS,,59,22,0,"0 .. 20,000",76,0,76,0,3999,3999,0,,
365110,365110,After All,JAMgames,JAMgames,,6,6,0,"0 .. 20,000",0,0,0,0,99,99,0,,
unknow,unknow,Afterfall InSanity - Dirty Arena Edition,unknow,unknow,,-1,-1,-1,unknow,-1,-1,-1,-1,-1,-1,-1,,
unknow,unknow,Afterfall InSanity Extended Edition,unknow,unknow,,-1,-1,-1,unknow,-1,-1,-1,-1,-1,-1,-1,,
367710,367710,Afterlife Empire,"Autobotika, Game Nation Inc",The Fine Young Capitalists,,44,39,0,"0 .. 20,000",16,0,25,0,499,499,0,,
unknow,unknow,Aftermath,unknow,unknow,,-1,-1,-1,unknow,-1,-1,-1,-1,-1,-1,-1,,
344260,344260,Agapan,Kursed Studios,Kursed Studios,,21,5,0,"0 .. 20,000",139,0,139,0,799,799,0,,
unknow,unknow,Agarest Zero,unknow,unknow,,-1,-1,-1,unknow,-1,-1,-1,-1,-1,-1,-1,,
237890,237890,Agarest: Generations of War,Idea Factory,Ghostlight LTD,,1196,441,0,"100,000 .. 200,000",434,1155,183,1155,1499,1499,0,,
312790,312790,Agarest: Generations of War 2,Idea Factory,Ghostlight LTD,,125,73,0,"50,000 .. 100,000",216,0,237,0,1999,1999,0,,
21600,21600,Age of Booty,Certain Affinity™,Capcom,,59,114,0,"20,000 .. 50,000",153,0,139,0,0,0,0,,
unknow,unknow,Age of Chivalry,unknow,unknow,,-1,-1,-1,unknow,-1,-1,-1,-1,-1,-1,-1,,
unknow,unknow,Age of Conan Rise of the Godslayer,unknow,unknow,,-1,-1,-1,unknow,-1,-1,-1,-1,-1,-1,-1,,
unknow,unknow,Age of Conan Unchained - EU version,unknow,unknow,,-1,-1,-1,unknow,-1,-1,-1,-1,-1,-1,-1,,
unknow,unknow,Age of Empires II HD Edition,unknow,unknow,,-1,-1,-1,unknow,-1,-1,-1,-1,-1,-1,-1,,
105450,105450,Age of Empires III: Complete Collection,Ensemble Studios,Microsoft Studios,,13633,1769,0,"2,000,000 .. 5,000,000",1657,797,295,219,3999,3999,0,,
unknow,unknow,Age of Empires Online,unknow,unknow,,-1,-1,-1,unknow,-1,-1,-1,-1,-1,-1,-1,,
266840,266840,Age of Mythology: Extended Edition,"SkyBox Labs, Ensemble Studios",Microsoft Studios,,9247,1563,0,"1,000,000 .. 2,000,000",1057,245,401,156,2999,2999,0,,
61500,61500,Age of Wonders,Triumph Studios,Paradox Interactive,,330,98,0,"100,000 .. 200,000",270,1,155,1,599,599,0,,
unknow,unknow,Age of Wonders 2,unknow,unknow,,-1,-1,-1,unknow,-1,-1,-1,-1,-1,-1,-1,,
226840,226840,Age of Wonders III,Triumph Studios,Paradox Interactive,,4452,1116,0,"500,000 .. 1,000,000",1273,381,298,460,2999,2999,0,,
61520,61520,Age of Wonders Shadow Magic,Triumph Studios,Paradox Interactive,,224,34,0,"100,000 .. 200,000",762,0,378,0,199,999,80,,
289580,289580,Aggression: Europe Under Fire,Lesta Studio,Buka Entertainment,,41,36,0,"0 .. 20,000",305,0,450,0,999,999,0,,
92900,92900,Agricultural Simulator 2011: Extended Edition,Actalogic,Libredia,,84,81,0,"20,000 .. 50,000",31,0,10,0,299,299,0,,
236790,236790,Agricultural Simulator 2013 - Steam Edition,Actalogic,United Independent Entertainment GmbH,,145,485,0,"50,000 .. 100,000",251,0,19,0,999,999,0,,
259890,259890,Agricultural Simulator: Historical Farming,Actalogic,United Independent Entertainment GmbH,,63,192,0,"50,000 .. 100,000",12,0,10,0,999,999,0,,
40400,40400,AI War: Fleet Command,"Arcen Games, LLC","Arcen Games, LLC",,1103,203,0,"200,000 .. 500,000",263,2,243,2,999,999,0,,
unknow,unknow,Aion,unknow,unknow,,-1,-1,-1,unknow,-1,-1,-1,-1,-1,-1,-1,,
unknow,unknow,Aion Collectors Edition,unknow,unknow,,-1,-1,-1,unknow,-1,-1,-1,-1,-1,-1,-1,,
unknow,unknow,AION Free-to-Play,unknow,unknow,,-1,-1,-1,unknow,-1,-1,-1,-1,-1,-1,-1,,
375600,375600,Air Brawl,Landfall,Landfall,,734,268,0,"100,000 .. 200,000",111,2,17,2,0,0,0,,
214910,214910,Air Conflicts: Pacific Carriers,"Games Farm, 3Division",Games Farm,,181,206,0,"100,000 .. 200,000",182,0,62,0,999,999,0,,
95900,95900,Air Conflicts: Secret Wars,"Games Farm, 3Division",Games Farm,,166,109,0,"50,000 .. 100,000",241,0,45,0,599,599,0,,
55020,55020,Air Forte,Blendo Games,Blendo Games,,39,30,0,"0 .. 20,000",11,0,8,0,999,999,0,,
223630,223630,AirBuccaneers,LudoCraft Ltd.,LudoCraft Ltd.,,371,251,0,"0 .. 20,000",191,0,87,0,0,0,0,,
201490,201490,Airline Tycoon 2,b-Alive,Kalypso Media Digital,,60,383,0,"50,000 .. 100,000",96,0,55,0,999,999,0,,
331920,331920,Airline Tycoon Deluxe,Spellbound AG,"HandyGames, Black Forest Games",,152,62,0,"50,000 .. 100,000",617,0,295,0,999,999,0,,
unknow,unknow,AirMech,unknow,unknow,,-1,-1,-1,unknow,-1,-1,-1,-1,-1,-1,-1,,
369290,369290,Airport Madness: World Edition,Big Fat Simulations Inc.,Big Fat Simulations Inc.,,188,44,0,"20,000 .. 50,000",250,0,235,0,999,999,0,,
267600,267600,Airport Simulator 2014,United Independent Entertainment GmbH,United Independent Entertainment GmbH,,143,800,0,"50,000 .. 100,000",188,0,20,0,999,999,0,,
291130,291130,Akane the Kunoichi,Haruneko Entertainment,Haruneko Entertainment,,326,356,0,"50,000 .. 100,000",196,0,166,0,299,299,0,,
230310,230310,Akaneiro: Demon Hunters,Spicy Horse,Spicy Horse,,114,205,0,"50,000 .. 100,000",58,0,38,0,0,0,0,,
333980,333980,AKIBA'S TRIP: Undead ＆ Undressed,ACQUIRE Corp.,"XSEED Games, Marvelous USA, Inc.",,2088,292,0,"100,000 .. 200,000",579,0,255,0,2999,2999,0,,
401330,401330,Akuatica,Tianyu Studio,Tianyu Studio,,38,20,0,"0 .. 20,000",277,0,308,0,499,499,0,,
108710,108710,Alan Wake,Remedy Entertainment,Remedy Entertainment,,22818,2135,0,"2,000,000 .. 5,000,000",440,283,209,269,1499,1499,0,,
202750,202750,Alan Wake's American Nightmare,Remedy Entertainment,Remedy Entertainment,,3569,1440,0,"1,000,000 .. 2,000,000",181,14,78,25,899,899,0,,
